time_s,brut_N,filtered_N,applied_N,ressenti_N
1782306437.464010,0.2390802,0.2727416,0,0
1782306437.466000,0.2692484,0.270997,0,0
1782306437.467990,0.2342995,0.2644775,0,0
1782306437.470060,0.3170407,0.2690143,0,0
1782306437.472030,0.3170407,0.2735913,0,0
1782306437.473990,0.3561105,0.280091,0,0
1782306437.476000,0.2981704,0.2822524,0,0
1782306437.478130,0.3122814,0.2856103,0,0
1782306437.480260,0.2258115,0.2769663,0,0
1782306437.482120,0.2681468,0.2755387,0,0
1782306437.484020,0.3486144,0.2826372,0,0
1782306437.486070,0.3486144,0.2894978,0,0
1782306437.488020,0.3400948,0.2953856,0,0
1782306437.490000,0.3025755,0.2951798,0,0
1782306437.492100,0.2939616,0.294602,0,0
1782306437.494030,0.263499,0.289996,0,0
1782306437.496090,0.3345323,0.2954251,0,0
1782306437.498060,0.3601184,0.3032844,0,0
1782306437.500090,0.3178548,0.3046708,0,0
1782306437.502300,0.2638067,0.2988226,0,0
1782306437.504200,0.2586599,0.2927388,0,0
1782306437.506040,0.2655734,0.2888141,0,0
1782306437.508040,0.2839751,0.286426,0,0
1782306437.510010,0.2633091,0.2833515,0,0
1782306437.511990,0.2078881,0.2726644,0,0
1782306437.513960,0.2970287,0.2753903,0,0
1782306437.515990,0.4096408,0.2915779,0,0
1782306437.518040,0.3069859,0.293145,0,0
1782306437.520210,0.3069859,0.2946185,0,0
1782306437.522010,0.3123579,0.2968329,0,0
1782306437.524010,0.2529715,0.291093,0,0
1782306437.526000,0.2963161,0.2898441,0,0
1782306437.527970,0.2688681,0.2850434,0,0
1782306437.529950,0.3218938,0.2886805,0,0
1782306437.531950,0.2634959,0.2811917,0,0
1782306437.533970,0.2634959,0.2755975,0,0
1782306437.535950,0.3487087,0.284252,0,0
1782306437.537920,0.2305149,0.2764535,0,0
1782306437.539920,0.3570623,0.2866987,0,0
1782306437.541940,0.1836934,0.2727971,0,0
1782306437.543950,0.2767097,0.2728976,0,0
1782306437.545930,0.2167216,0.2648335,0,0
1782306437.547970,0.2167216,0.2579711,0,0
1782306437.549970,0.2664574,0.2580925,0,0
1782306437.551950,0.4296427,0.2803464,0,0
1782306437.553970,0.3569502,0.2898393,0,0
1782306437.555920,0.303883,0.2911986,0,0
1782306437.557910,0.3320471,0.294679,0,0
1782306437.560040,0.3320471,0.2981926,0,0
1782306437.561950,0.3192711,0.2997244,0,0
1782306437.563990,0.3192711,0.3013641,0,0
1782306437.565950,0.3174421,0.3021005,0,0
1782306437.567970,0.3174421,0.3030798,0,0
1782306437.569990,0.2714297,0.2983406,0,0
1782306437.571950,0.2649235,0.2892072,0,0
1782306437.573900,0.2162711,0.2795806,0,0
1782306437.575940,0.2917837,0.2793844,0,0
1782306437.577920,0.274745,0.2768338,0,0
1782306437.579950,0.247632,0.2723186,0,0
1782306437.581990,0.2892125,0.2730315,0,0
1782306437.583980,0.2892125,0.274025,0,0
1782306437.585950,0.2593153,0.2712472,0,0
1782306437.587970,0.3079337,0.2752309,0,0
1782306437.589940,0.364313,0.2860713,0,0
1782306437.591950,0.3707604,0.2966874,0,0
1782306437.593920,0.3392626,0.302176,0,0
1782306437.595910,0.376506,0.3118285,0,0
1782306437.597930,0.280242,0.3075989,0,0
1782306437.599950,0.1826065,0.2899437,0,0
1782306437.601960,0.3000429,0.2911817,0,0
1782306437.603950,0.2995005,0.2898714,0,0
1782306437.605960,0.3116229,0.2901014,0,0
1782306437.607950,0.3109859,0.2914852,0,0
1782306437.609940,0.2796997,0.2893035,0,0
1782306437.611960,0.3493124,0.2945706,0,0
1782306437.613970,0.3754663,0.3049178,0,0
1782306437.615960,0.4135067,0.3171286,0,0
1782306437.618000,0.356681,0.3190423,0,0
1782306437.620090,0.356681,0.3215485,0,0
1782306437.621980,0.3030214,0.3182704,0,0
1782306437.623980,0.3482474,0.3203585,0,0
1782306437.625950,0.3280392,0.3212545,0,0
1782306437.627930,0.2029051,0.3039831,0,0
1782306437.629920,0.2161354,0.2923717,0,0
1782306437.631970,0.3601998,0.3004002,0,0
1782306437.633930,0.3234773,0.3029103,0,0
1782306437.635930,0.1638392,0.2847216,0,0
1782306437.637930,0.226536,0.276436,0,0
1782306437.639960,0.226536,0.269373,0,0
1782306437.641960,0.3028581,0.2720105,0,0
1782306437.643980,0.3028581,0.2747561,0,0
1782306437.645930,0.1625822,0.2601381,0,0
1782306437.647940,0.2435473,0.2552618,0,0
1782306437.649950,0.2271848,0.2499935,0,0
1782306437.652200,0.2184276,0.2440635,0,0
1782306437.654160,0.3533268,0.2575389,0,0
1782306437.655990,0.2888951,0.2600326,0,0
1782306437.658170,0.2888951,0.2626168,0,0
1782306437.660210,0.3243805,0.2683658,0,0
1782306437.662230,0.3396077,0.2763027,0,0
1782306437.664120,0.3997951,0.291918,0,0
1782306437.666010,0.1680609,0.2755616,0,0
1782306437.667990,0.285909,0.2766744,0,0
1782306437.670230,0.2716419,0.2742646,0,0
1782306437.671980,0.2978724,0.2747993,0,0
1782306437.674060,0.2610976,0.2729803,0,0
1782306437.676280,0.3041987,0.2765866,0,0
1782306437.678240,0.3680333,0.2854091,0,0
1782306437.680080,0.2849925,0.2845056,0,0
1782306437.681940,0.1681931,0.2680525,0,0
1782306437.683930,0.230942,0.2632165,0,0
1782306437.686090,0.3610616,0.2692903,0,0
1782306437.687940,0.2090048,0.2608693,0,0
1782306437.690060,0.3191658,0.2682648,0,0
1782306437.692110,0.3063253,0.2727901,0,0
1782306437.693990,0.2292406,0.2665837,0,0
1782306437.695970,0.4258636,0.285947,0,0
1782306437.697920,0.2968334,0.2822165,0,0
1782306437.699980,0.2697194,0.280244,0,0
1782306437.701950,0.3931464,0.2944367,0,0
1782306437.703950,0.288817,0.2897421,0,0
1782306437.705950,0.3289725,0.2942649,0,0
1782306437.707950,0.2459468,0.2875175,0,0
1782306437.709940,0.2172561,0.2745831,0,0
1782306437.711970,0.222568,0.2660021,0,0
1782306437.713950,0.2403258,0.2623309,0,0
1782306437.715960,0.3467318,0.2732635,0,0
1782306437.718000,0.3467318,0.2827868,0,0
1782306437.719980,0.2934554,0.2839479,0,0
1782306437.721950,0.2915206,0.2792687,0,0
1782306437.723980,0.2373346,0.2737798,0,0
1782306437.725910,0.3212776,0.2769769,0,0
1782306437.728000,0.2851945,0.277079,0,0
1782306437.729920,0.2131739,0.2662323,0,0
1782306437.732010,0.3044364,0.269033,0,0
1782306437.733910,0.2261255,0.2628651,0,0
1782306437.736020,0.2567262,0.2619024,0,0
1782306437.737940,0.3053065,0.2674275,0,0
1782306437.739920,0.3605258,0.2766962,0,0
1782306437.741920,0.2775258,0.2765404,0,0
1782306437.743930,0.3220972,0.2763115,0,0
1782306437.745920,0.2241836,0.2679901,0,0
1782306437.747950,0.2670955,0.2653187,0,0
1782306437.749910,0.2112232,0.25767,0,0
1782306437.751930,0.3672517,0.2683779,0,0
1782306437.753930,0.1458434,0.2521051,0,0
1782306437.755950,0.248596,0.2516286,0,0
1782306437.757920,0.2964381,0.2562244,0,0
1782306437.759970,0.2964381,0.2605576,0,0
1782306437.761920,0.2461423,0.2558943,0,0
1782306437.763930,0.3035878,0.2599759,0,0
1782306437.765920,0.1840965,0.2424658,0,0
1782306437.767950,0.2190268,0.238976,0,0
1782306437.769970,0.2860075,0.244808,0,0
1782306437.771940,0.2552243,0.2455225,0,0
1782306437.773950,0.3562945,0.2591714,0,0
1782306437.775920,0.2084455,0.2484174,0,0
1782306437.777970,0.2084456,0.2398736,0,0
1782306437.779920,0.2529587,0.238125,0,0
1782306437.781920,0.2506025,0.234793,0,0
1782306437.783910,0.2128684,0.2290002,0,0
1782306437.785980,0.3198612,0.2396619,0,0
1782306437.787950,0.1677451,0.2297385,0,0
1782306437.789910,0.3407436,0.2378591,0,0
1782306437.791920,0.2515124,0.2354274,0,0
1782306437.793930,0.3179819,0.2439992,0,0
1782306437.795950,0.208686,0.2393508,0,0
1782306437.797940,0.2511377,0.2407,0,0
1782306437.799940,0.2092024,0.2365091,0,0
1782306437.801940,0.2825031,0.2389931,0,0
1782306437.804010,0.1907185,0.227121,0,0
1782306437.805940,0.2210138,0.2245677,0,0
1782306437.808090,0.2210138,0.2227574,0,0
1782306437.809950,0.2957672,0.2315081,0,0
1782306437.811940,0.2293951,0.2301776,0,0
1782306437.813930,0.2313494,0.2275324,0,0
1782306437.815930,0.2792623,0.2337744,0,0
1782306437.817930,0.2685363,0.2378722,0,0
1782306437.819990,0.2692527,0.2388541,0,0
1782306437.822080,0.2692527,0.2405154,0,0
1782306437.823940,0.2234375,0.2363802,0,0
1782306437.825970,0.158759,0.225934,0,0
1782306437.827990,0.3987303,0.2473427,0,0
1782306437.830010,0.2224436,0.2434721,0,0
1782306437.831950,0.2761039,0.2466474,0,0
1782306437.833950,0.3046131,0.2535104,0,0
1782306437.836000,0.2504043,0.250567,0,0
1782306437.838040,0.2988211,0.2566303,0,0
1782306437.839940,0.1965708,0.2436817,0,0
1782306437.841950,0.3903224,0.2582032,0,0
1782306437.843930,0.3388292,0.2673669,0,0
1782306437.846000,0.3349159,0.2743557,0,0
1782306437.847910,0.3532259,0.2838088,0,0
1782306437.849920,0.2955504,0.2849144,0,0
1782306437.851980,0.4228013,0.3020946,0,0
1782306437.853940,0.2685795,0.2965271,0,0
1782306437.855950,0.1676913,0.2775683,0,0
1782306437.857910,0.1797878,0.2634888,0,0
1782306437.859960,0.1797878,0.2514708,0,0
1782306437.861920,0.308785,0.258092,0,0
1782306437.863950,0.3380054,0.2666674,0,0
1782306437.865910,0.3251284,0.272934,0,0
1782306437.867980,0.3251284,0.2787586,0,0
1782306437.869960,0.3251869,0.2823928,0,0
1782306437.871920,0.3011632,0.2831462,0,0
1782306437.873920,0.375397,0.2947839,0,0
1782306437.875900,0.2791604,0.2918714,0,0
1782306437.877910,0.260622,0.2858858,0,0
1782306437.879920,0.3430862,0.2913263,0,0
1782306437.881900,0.309722,0.2925844,0,0
1782306437.883900,0.3476666,0.2995154,0,0
1782306437.885940,0.3311704,0.3022209,0,0
1782306437.887910,0.3436066,0.3072281,0,0
1782306437.889900,0.2219455,0.2928088,0,0
1782306437.891900,0.2772695,0.2863681,0,0
1782306437.893950,0.3073976,0.288119,0,0
1782306437.895900,0.3406326,0.2937768,0,0
1782306437.897900,0.3937067,0.3050435,0,0
1782306437.899900,0.3111977,0.3057428,0,0
1782306437.901940,0.3939201,0.3141312,0,0
1782306437.903910,0.3594158,0.318852,0,0
1782306437.905910,0.3290711,0.3192653,0,0
1782306437.907900,0.383618,0.3268064,0,0
1782306437.909900,0.3954853,0.3354728,0,0
1782306437.911900,0.3400505,0.3346366,0,0
1782306437.913900,0.4132212,0.3446289,0,0
1782306437.915900,0.2559673,0.3322244,0,0
1782306437.917920,0.2918787,0.3268513,0,0
1782306437.919990,0.3067085,0.3194197,0,0
1782306437.921970,0.3067085,0.3140298,0,0
1782306437.923940,0.3059132,0.3121732,0,0
1782306437.925950,0.372444,0.3183708,0,0
1782306437.927940,0.3606084,0.3233602,0,0
1782306437.929930,0.3897533,0.3302492,0,0
1782306437.931930,0.3824864,0.3340962,0,0
1782306437.933940,0.2986003,0.3291312,0,0
1782306437.935960,0.2440428,0.3166414,0,0
1782306437.937910,0.3391891,0.3188927,0,0
1782306437.939900,0.3496178,0.3221463,0,0
1782306437.941940,0.3227981,0.320892,0,0
